ms,hall,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
6776,1,1266,-404,11829,18,-2961,-185
6764,1,1358,-398,11791,21,-2959,-190
6768,1,1405,-398,11755,17,-2955,-192
6764,1,1475,-414,11739,17,-2953,-186
6764,1,1560,-422,11705,20,-2952,-179
6768,1,1651,-404,11595,15,-2954,-176
6764,1,1723,-389,11634,15,-2950,-180
6768,1,1805,-404,11606,16,-2947,-187
6768,1,1878,-370,11544,14,-2946,-190
6760,1,2008,-380,11510,15,-2941,-184
6772,1,2044,-400,11489,18,-2937,-181
6768,1,2143,-365,11451,15,-2937,-174
6760,1,2225,-400,11404,14,-2930,-172
6768,1,2299,-392,11336,18,-2926,-179
6764,1,2417,-344,11327,16,-2921,-185
6768,1,2437,-389,11290,13,-2922,-186
6764,1,2545,-385,11244,17,-2918,-187
6760,1,2592,-353,11206,13,-2919,-182
6772,1,2685,-404,11136,17,-2911,-179
6764,1,2718,-396,11084,18,-2906,-176
6768,1,2815,-349,11006,20,-2905,-177
6764,1,2880,-342,10956,18,-2904,-181
6760,1,2946,-313,10931,13,-2899,-187
6768,1,3016,-332,10895,11,-2889,-188
6760,1,3085,-399,10789,14,-2890,-179
6768,1,3106,-382,10700,20,-2886,-172
6760,1,3179,-349,10667,21,-2885,-168
6764,1,3240,-329,10622,22,-2881,-168
6768,1,3280,-280,10569,18,-2882,-177
6764,1,3330,-277,10512,10,-2879,-187
6764,1,3419,-321,10360,9,-2880,-193
6712,1,3463,-357,10306,14,-2877,-192
6764,1,3473,-391,10271,16,-2876,-180
6768,1,3554,-365,10222,26,-2872,-171
6772,1,3627,-319,10135,30,-2872,-167
6760,1,3673,-244,10023,20,-2870,-172
6768,1,3725,-266,9969,14,-2862,-183
6712,1,3730,-231,9916,9,-2863,-192
6676,1,3833,-288,9892,1,-2862,-186
6664,1,3829,-415,9753,10,-2857,-182
6720,1,3882,-364,9659,20,-2853,-172
6708,1,3926,-299,9595,24,-2850,-167
6720,1,3964,-247,9507,22,-2851,-168
6712,1,3978,-203,9445,15,-2846,-178
6712,1,3979,-222,9390,2,-2842,-185
6668,1,4031,-296,9289,5,-2837,-188
6664,1,4073,-354,9193,15,-2839,-181
6712,1,4104,-358,9130,22,-2832,-171
6712,1,4135,-285,9047,32,-2831,-168
6724,1,4187,-205,8985,32,-2827,-168
6708,1,4225,-126,8919,17,-2825,-173
6716,1,4190,-153,8801,11,-2817,-185
6720,1,4227,-198,8738,3,-2809,-189
6664,1,4256,-259,8617,5,-2810,-177
6676,1,4256,-299,8565,19,-2805,-171
6708,1,4292,-273,8461,25,-2799,-172
6708,1,4285,-181,8380,24,-2799,-167
6712,1,4288,-146,8301,20,-2793,-174
6720,1,4327,-127,8238,8,-2794,-181
6668,1,4304,-176,8179,1,-2793,-179
6676,1,4306,-263,8109,6,-2792,-179
6668,1,4356,-314,8006,16,-2784,-175
6716,1,4338,-280,7872,26,-2778,-167
6712,1,4351,-160,7780,29,-2778,-170
6712,1,4315,-97,7741,16,-2774,-170
